Brand,Price,Sales,BSR,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Dimensions,Weight,period,Creation Date_year,Creation Date_month,Creation Date_day,Size Tier_Large Envelope,Size Tier_Large Letter,Size Tier_Large Oversize,Size Tier_Small Envelope,Size Tier_Small Oversize,Size Tier_Standard Envelope,Size Tier_Standard Parcel,Delivery_AMZ,Delivery_FBA,Delivery_MFN
188,-0.08857620243940188,2,100631,-0.5505206326752106,4,-0.05006554791129606,-0.017280254327795737,0.0032334738069000374,209,8,-0.9202146192101942,0.7319868367438425,638,2020,4,2,0,0,1,0,0,0,0,0,0,1
550,-0.08857620243940188,2,101207,-0.5505206326752106,4,0.8236350339290631,0.6677706202117515,0.28165990655588385,651,8,-0.06513061371492557,-0.2832710889720954,316,2021,2,18,0,0,1,0,0,0,0,0,1,0
1135,-1.0446165867525437,11,100389,-0.5505206326752106,4,-0.4424903855175591,0.3252451829419779,0.0032334738069000374,588,8,0.25225139794582135,0.3935675281718631,758,2019,12,4,0,0,1,0,0,0,0,0,0,1
776,-0.34352030492290636,8,107011,-0.5505206326752106,4,-0.3980649322036425,-0.017280254327795737,0.0032334738069000374,395,8,0.25225139794582135,0.3935675281718631,503,2020,8,15,0,0,1,0,0,0,0,0,0,1
156,0.42131200252760703,2,106950,-0.5505206326752106,0,-0.6127879565542392,-0.702331128867343,0.0032334738069000374,38,13,-0.7931319174060615,-1.2677636229996716,214,2021,5,31,0,0,0,0,1,0,0,1,0,0
894,-0.08857620243940188,1,110801,-0.5505206326752106,4,-0.005640094597379497,-0.702331128867343,0.0032334738069000374,38,8,-1.2712255570723754,-1.3498046675019697,2338,2015,8,7,0,0,0,0,0,0,1,1,0,0
735,-0.08857620243940188,7,111214,-0.5505206326752106,4,-0.5609582610213366,1.3528214947512986,0.21205329836863793,209,8,0.1249792628127645,0.45509831154858665,448,2020,10,9,0,0,1,0,0,0,0,0,0,1
735,-0.08857620243940188,15,109179,-0.5505206326752106,5,-0.590575229897281,1.3528214947512986,0.0032334738069000374,651,8,2.352688149059441,0.7319868367438425,448,2020,10,9,0,0,1,0,0,0,0,0,1,0
894,-0.08857620243940188,1,114346,-0.5505206326752106,4,0.07580656981146754,-0.702331128867343,0.0032334738069000374,38,8,-1.2712255570723754,-1.2575084924368842,2338,2015,8,7,0,0,0,0,1,0,0,1,0,0
1150,-0.08857620243940188,1,115056,-0.5505206326752106,4,0.6977629162062995,-1.0448565661371165,0.072840081994146,651,8,-0.0777955848487275,0.7319868367438425,785,2019,11,7,0,0,1,0,0,0,0,0,1,0
664,0.29511467179827233,2,113910,-0.5505206326752106,5,-0.6053837143352532,-0.702331128867343,0.0032334738069000374,38,13,-0.7931319174060615,-1.2677636229996716,1059,2019,2,6,0,0,0,0,1,0,0,1,0,0
189,-0.08857620243940188,3,119488,-0.5505206326752106,4,-0.33142675223276763,-0.702331128867343,0.0032334738069000374,209,8,0.25225139794582135,0.3935675281718631,463,2020,9,24,0,0,1,0,0,0,0,0,0,1
1009,0.7489151742189101,167,9565,2.5025051474238795,4,-0.47951159661248954,-1.0448565661371165,0.0032334738069000374,531,8,0.25225139794582135,0.3935675281718631,2033,2016,6,7,0,0,1,0,0,0,0,0,0,1
988,0.3563012563943134,23,19154,0.6706896793644255,4,-0.48691583883147566,-1.0448565661371165,0.0032334738069000374,299,8,0.25225139794582135,0.3935675281718631,706,2020,1,25,0,0,1,0,0,0,0,0,0,1
1050,0.9006069151965954,72,26375,0.0600845233446075,4,-0.3906606899846564,1.0102960574815252,0.0032334738069000374,537,8,0.25225139794582135,0.3935675281718631,436,2020,10,21,0,0,1,0,0,0,0,0,0,1
519,0.29383995128585483,4,28236,0.0600845233446075,4,-0.5313412921453922,-1.0448565661371165,0.0032334738069000374,614,13,0.25225139794582135,0.3935675281718631,3956,2011,3,3,0,0,1,0,0,0,0,0,0,1
563,1.058672258736368,38,102649,0.0600845233446075,5,-0.597979472116267,0.3252451829419779,0.0032334738069000374,38,16,0.6042185230873353,-0.71398657260916,154,2021,7,30,0,0,1,0,0,0,0,1,0,0
123,1.1746718253663626,26,31296,-0.5505206326752106,5,-0.590575229897281,0.3252451829419779,0.0032334738069000374,132,8,-1.510164129289004,0.3935675281718631,1859,2016,11,28,0,0,1,0,0,0,0,0,0,1
691,1.3136163612198726,43,36741,-0.5505206326752106,5,-0.48691583883147566,-1.0448565661371165,0.0032334738069000374,132,8,0.25225139794582135,0.3935675281718631,605,2020,5,5,0,0,1,0,0,0,0,0,0,1
872,1.4041215176015167,45,41499,1.2812948353842435,4,-0.5609582610213366,-1.0448565661371165,0.0032334738069000374,531,8,0.25225139794582135,0.3935675281718631,1977,2016,8,2,0,0,1,0,0,0,0,0,0,1
1245,-0.5793435997201479,2,156008,1.8918999914040615,4,-0.05006554791129606,-1.0448565661371165,0.14244669018139197,556,8,-0.011439795916927209,-0.01663769433962689,870,2019,8,14,0,0,1,0,0,0,0,0,0,1
717,-0.601013848431246,22,45169,-0.5505206326752106,4,-0.3906606899846564,-0.702331128867343,0.0032334738069000374,718,13,0.25225139794582135,0.6807111839299064,3205,2013,3,23,0,0,1,0,0,0,0,0,0,1
1277,-0.8534085098899153,20,47719,-0.5505206326752106,5,-0.42027765886060076,-1.0448565661371165,0.0032334738069000374,226,8,-1.2403749863618319,-0.7652622254230962,1488,2017,12,4,0,0,1,0,0,0,0,0,1,0
1009,-1.1070778918610023,3,51181,0.6706896793644255,4,-0.22036311894797622,1.0102960574815252,0.3512665147431298,209,8,0.2612269294829531,2.49586929354325,551,2020,6,28,0,0,1,0,0,0,0,0,0,1
946,0.29383995128585483,11,56412,0.0600845233446075,5,-0.5831709876782949,-1.0448565661371165,0.0032334738069000374,630,8,0.25225139794582135,0.3935675281718631,43,2021,11,18,0,0,1,0,0,0,0,0,0,1
226,1.3773523868407487,21,52071,-0.5505206326752106,5,-0.5609582610213366,-1.0448565661371165,0.0032334738069000374,666,8,0.25225139794582135,0.3935675281718631,1127,2018,11,30,0,0,1,0,0,0,0,0,0,1
1009,-0.7896724842690391,0,47280,0.6706896793644255,5,-0.5831709876782949,-0.017280254327795737,0.0032334738069000374,299,8,-0.9659672784627892,-0.35505700291160625,2897,2014,1,25,0,0,1,0,0,0,0,0,0,1
624,0.29383995128585483,9,54910,-0.5505206326752106,4,-0.4128734166416147,0.6677706202117515,0.0032334738069000374,508,8,-1.1900398446762088,-1.0626610117439266,539,2020,7,10,0,0,0,0,1,0,0,0,0,1
560,-1.40663721227912,13,45073,-0.5505206326752106,5,-0.6053837143352532,-1.0448565661371165,0.0032334738069000374,38,10,-1.3543597265660499,-0.9908750978044158,197,2021,6,17,0,0,1,0,0,0,0,1,0,0
560,0.3237958833276665,27,67612,-0.5505206326752106,4,-0.590575229897281,-1.0448565661371165,0.0032334738069000374,209,10,-1.3421908903413355,-0.9601097061160541,197,2021,6,17,0,0,1,0,0,0,0,0,0,1
560,1.5991537560013978,8,68405,-0.5505206326752106,5,-0.6053837143352532,-1.0448565661371165,0.0032334738069000374,558,10,0.25225139794582135,0.3935675281718631,175,2021,7,9,0,0,1,0,0,0,0,0,0,1
1197,1.3136163612198726,11,77826,-0.5505206326752106,4,-0.47210735439350343,0.3252451829419779,0.0032334738069000374,625,10,1.6144394043369672,0.752497097869417,653,2020,3,18,0,0,1,0,0,0,0,0,1,0
560,1.5991537560013978,8,80508,-0.5505206326752106,4,-0.6053837143352532,-1.0448565661371165,0.0032334738069000374,558,10,0.25225139794582135,0.3935675281718631,175,2021,7,9,0,0,1,0,0,0,0,0,0,1
560,0.3237958833276665,2,94227,-0.5505206326752106,0,-0.6127879565542392,-1.0448565661371165,0.0032334738069000374,209,10,-1.2558543955253678,-0.878068661613756,197,2021,6,17,0,0,1,0,0,0,0,0,0,1
22,0.3237958833276665,1,105005,-0.5505206326752106,4,0.08321081203045363,1.6953469320210723,0.0032334738069000374,209,10,0.25225139794582135,0.3935675281718631,821,2019,10,2,0,0,1,0,0,0,0,0,0,1
1022,-0.2836084408392827,12,109545,2.5025051474238795,4,-0.6053837143352532,0.3252451829419779,0.0032334738069000374,714,10,0.9705825812271024,-0.5704147447301385,261,2021,4,14,0,0,1,0,0,0,0,0,1,0
560,0.3237958833276665,4,116552,-0.5505206326752106,5,-0.597979472116267,-1.0448565661371165,0.0032334738069000374,209,10,0.25225139794582135,0.3935675281718631,175,2021,7,9,0,0,1,0,0,0,0,0,0,1
866,0.42258672304002454,7,120681,0.0600845233446075,5,-0.5461497765833644,-0.702331128867343,0.0032334738069000374,18,10,-0.9724170322809291,-0.42684291685111686,1967,2016,8,12,0,0,1,0,0,0,0,0,0,1
999,-1.4002636097170325,0,154228,0.0600845233446075,5,0.6237204940164385,1.6953469320210723,0.28165990655588385,209,10,-1.120490751056826,-1.0934264034322883,2992,2013,10,22,0,0,0,0,1,0,0,0,0,1
560,0.3237958833276665,2,163503,-0.5505206326752106,4,-0.590575229897281,-1.0448565661371165,0.0032334738069000374,209,10,0.25225139794582135,0.3935675281718631,175,2021,7,9,0,0,1,0,0,0,0,0,0,1
999,-1.4142855353536252,0,165059,1.8918999914040615,5,0.43121019632280005,0.3252451829419779,0.14244669018139197,209,10,-1.2351430182296346,-1.165212317371799,2353,2015,7,23,0,0,0,0,1,0,0,0,0,1
999,-1.3875164045928572,2,167645,-0.5505206326752106,5,1.0605707849366182,0.3252451829419779,0.3512665147431298,209,10,-1.2141520012578704,-0.6114352669812876,2729,2014,7,12,0,0,1,0,0,0,0,0,0,1
999,-1.489494045586259,0,171699,0.0600845233446075,5,0.29793383638105037,-1.0448565661371165,0.21205329836863793,209,10,-1.120490751056826,-1.1036815339950756,2992,2013,10,22,0,0,0,0,1,0,0,0,0,1
365,-1.4257580199653828,0,190450,0.0600845233446075,5,0.34235928969496693,1.0102960574815252,0.28165990655588385,209,10,-1.1328851031493077,-0.9908750978044158,2345,2015,7,31,0,0,1,0,0,0,0,0,0,1
718,-1.3632967148569242,2,193272,1.8918999914040615,4,-0.5313412921453922,0.6677706202117515,0.0032334738069000374,209,10,-1.3454473394718929,-1.0113853589299902,1054,2019,2,11,0,0,1,0,0,0,0,0,0,1
999,-1.4142855353536252,0,201845,-0.5505206326752106,5,-0.08708675900622653,-1.0448565661371165,0.21205329836863793,209,10,-1.120490751056826,-1.1036815339950756,2992,2013,10,22,0,0,0,0,1,0,0,0,0,1
999,-1.3875164045928572,0,222762,-0.5505206326752106,5,-0.12410797010115701,-1.0448565661371165,0.072840081994146,209,10,-1.2880309995383818,-0.919089183864905,2313,2015,9,1,0,0,1,0,0,0,0,0,0,1
718,1.4410884124616248,0,227268,-0.5505206326752106,5,-0.6053837143352532,-0.702331128867343,0.0032334738069000374,653,10,0.25225139794582135,0.3935675281718631,1019,2019,3,18,0,0,1,0,0,0,0,0,0,1
316,1.5570879790916192,1,271752,0.0600845233446075,0,-0.6127879565542392,-1.0448565661371165,0.0032334738069000374,696,10,0.25225139794582135,0.3935675281718631,529,2020,7,20,0,0,1,0,0,0,0,0,0,1
866,1.5698351842157947,0,314159,-0.5505206326752106,0,-0.6127879565542392,-1.0448565661371165,0.0032334738069000374,539,10,0.25225139794582135,0.3935675281718631,338,2021,1,27,0,0,1,0,0,0,0,0,0,1
999,-1.4002636097170325,0,396510,0.0600845233446075,5,-0.51653280770742,-1.0448565661371165,0.0032334738069000374,209,10,-1.120490751056826,-1.0934264034322883,2313,2015,9,1,0,0,0,0,1,0,0,0,0,1
999,-1.4142855353536252,0,399748,-0.5505206326752106,4,-0.5757667454593087,1.0102960574815252,0.21205329836863793,209,10,-1.1822460162861768,-0.5293942224789895,2313,2015,9,1,0,0,1,0,0,0,0,0,0,1
718,-1.3632967148569242,0,410616,1.8918999914040615,4,-0.590575229897281,0.6677706202117515,0.0032334738069000374,209,10,-1.3844345226914743,-1.0729161423067137,1054,2019,2,11,0,0,0,0,1,0,0,0,0,1
866,1.4423631329740425,0,430004,-0.5505206326752106,0,-0.6127879565542392,-1.0448565661371165,0.0032334738069000374,539,10,0.25225139794582135,0.3935675281718631,338,2021,1,27,0,0,1,0,0,0,0,0,0,1
718,-1.0713857175133117,0,536030,-0.5505206326752106,0,-0.6127879565542392,-1.0448565661371165,0.0032334738069000374,209,10,0.25225139794582135,0.3935675281718631,1254,2018,7,26,0,0,1,0,0,0,0,0,0,1
439,-0.029939058868195978,60,31328,3.1131103034436975,4,1.4455913803238951,-0.017280254327795737,0.0032334738069000374,161,10,0.012320555911017142,-1.1036815339950756,925,2019,6,20,0,0,0,0,1,0,0,0,1,0
