Product Details,ASIN,Brand,Price,Sales,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
"Taylors of Harrogate Assorted Green Teas and Fruit Infusions Selection Box, 96 g (48 Tea Bags in Total)",B07R9SGCGQ,Taylors of Harrogate,9.97,521.0,2658.0,3.15,1.0,5.0,2535.0,4.0,8.0,Amazon,Hampers & Gourmet Gifts,Large Oversize,AMZ,8.5x13.7x1.5,0.64,4/15/2019
"Lipton Ice Tea Peach Still Soft Drink 500ml, (Pack of 12)",B0077PPVXW,Lipton,13.45,1616.0,3634.0,7.58,23.0,5.0,647.0,10.0,17.0,PackZone,Drinks,Large Oversize,MFN,8.9x10.3x7.4,14.22,2/8/2012
"Pukka Herbal Collection, Selection of Five Organic Herbal Teas (4 Pack, Total 80 Tea bags)",B0168UWV6Q,Pukka Herbs,11.94,787.0,3230.0,4.16,9.0,5.0,636.0,12.0,8.0,Amazon,Drinks,Large Oversize,AMZ,5.9x11.2x3.3,0.86,6/22/2015
Lift Instant Lemon Flavoured Tea (Pack of 6),B01N2KJIIQ,Lift,8.94,652.0,2863.0,3.39,6.0,5.0,493.0,1.0,8.0,Amazon,Drinks,Large Oversize,AMZ,5.7x9.1x5.4,2.98,9/20/2016
"Japanese Organic Matcha Green Tea Powder - Culinary Grade - 100 gr. Tea Produced in Japan, Uji, Kyoto. Use for Cooking, Baking, Smoothie Making and with Milk. Vegan & Vegetarian Friendly",B0769KMK4C,NaturaleBio,8.97,630.0,3216.0,2.39,1.0,5.0,5027.0,8.0,0.0,NaturaleBio,Drinks,Small Oversize,FBA,5.0x9.3x0.6,0.24,11/7/2017
"NUTRALIVER - Liver Support Tea | Liver Detox Tea | Hangover Tea - Providing a Liver Cleanse, Detox and Repair - Includes Milk Thistle & Turmeric - 20 Enveloped Tea Bags - by Nutra Tea - Herbal Tea",B0872F6FSJ,Nutra Tea,6.99,515.0,4064.0,2.76,2.0,5.0,515.0,6.0,10.0,Nutra Tea,Drinks,Standard Parcel,FBA,5.1x9.6x3.3,0.18,4/12/2020
Royal Chai | Cardamom Sweetened Tub | 400 g (Pack of 1) | Premium Instant Chai | Makes 20 cups,B073H64MV5,Royal Chai,7.49,924.0,2773.0,3.11,9.0,4.0,717.0,1.0,126.0,One Stop Dealers,Drinks,Large Oversize,FBA,3.9x5.4x3.9,1.01,6/28/2017
"Yorkshire Gold, 200 Tea Bags with Tags (total 200 teabags)",B00GLTDKFQ,Yorkshire Tea,17.14,6884.0,34.0,5.28,3.0,5.0,12783.0,9.0,544.0,,Drinks,Large Oversize,MFN,8.0x11.1x5.0,2.14,11/11/2013
Twinings English Afternoon Tea 400 Tea Bags (Multipack of 4 x 100 Tea Bags),B01LXFRFO7,Twinings,14.0,11146.0,67.0,4.8,9.0,5.0,9817.0,4.0,174.0,Amazon,Drinks,Large Oversize,AMZ,5.9x12.2x5.7,2.76,10/2/2016
"Yorkshire Tea Bedtime Brew Tea Bags, Pack of 4 (Total of 160 Tea Bags)",B07MC44ZLM,Yorkshire Tea,9.2,6123.0,350.0,3.25,5.0,5.0,4137.0,6.0,111.0,Amazon,Drinks,Large Oversize,AMZ,6.2x11.3x3.8,1.28,1/4/2019
"Clipper Organic White Teabags, 6 x 26 Teabags",B07HNFRSRJ,Clipper,11.4,1030.0,580.0,4.07,4.0,5.0,2354.0,12.0,6.0,Amazon,Drinks,Large Oversize,AMZ,5.4x11.0x3.3,0.88,11/10/2011
"Taylors of Harrogate Decaffeinated Breakfast Tea, 20 Tea Bags (Pack of 6, total 120 Teabags)",B00EGSYJ0O,Taylors of Harrogate,11.94,2709.0,715.0,4.33,3.0,5.0,2652.0,7.0,36.0,Amazon,Drinks,Large Oversize,AMZ,6.8x11.6x5.3,1.63,8/7/2013
"Teapigs Everyday Brew Tea Bags Made with Whole Leaves (1 Pack of 50 Tea Bags) & Snooze Herbal Tea with Whole Herbs and Fruits, Pack of 15",B096VCQQK2,Tea Pigs,12.9,2252.0,920.0,,1.0,5.0,1059.0,7.0,20.0,Amazon,Drinks,,AMZ,,,6/8/2021
Clipper Organic Everyday Decaf Tea 80 Teabags,B00E7W0RVY,Clipper,12.52,2550.0,868.0,4.25,1.0,5.0,1157.0,3.0,20.0,Amazon,Drinks,Large Oversize,AMZ,5.6x6.7x2.9,0.66,11/12/2015
"PG tips One Cup Biodegradable Pyramid Everyday Tea Bags Bulk Pack Of 440 Teabags for Catering, Birthdays, Office Tea Breaks and Afternoon Tea",B07F7ZBSWG,PG Tips,10.07,2133.0,935.0,4.2,15.0,5.0,2806.0,8.0,38.0,,Drinks,Large Oversize,AMZ,9.3x15.0x4.2,2.14,8/31/2006
"Clipper Organic Everyday 100 Teabags (Pack of 6, total 600 Teabags)",B075QDZJ4B,Clipper,18.0,2138.0,1143.0,8.26,1.0,5.0,890.0,7.0,-3586.0,Amazon,Drinks,Large Oversize,AMZ,7.4x18.6x5.7,5.0,9/13/2017
Teapigs Chamomile Tea Made With Whole Flowers (1 Pack of 50 Tea Bags) & Apple and Cinnamon Tea Bags Made With Whole Fruit Pieces (1 Pack of 15 Tea Bags),B096VCYLN5,Tea Pigs,14.69,1742.0,1065.0,,1.0,5.0,1223.0,7.0,0.0,Amazon,Drinks,,AMZ,,,6/8/2021
Royal Chai Elaichi Premium Instant Indian Tea Sweetened,B0045FSIUK,Royal Chai,5.49,1540.0,1480.0,2.78,9.0,4.0,673.0,4.0,25.0,UV Brands Europe,Drinks,Small Oversize,FBA,3.5x4.4x3.4,0.4,10/1/2010
Teapigs Liquorice and Peppermint Tea Made With Whole Flowers (1 Pack of 50 Tea Bags) & Everyday Brew Tea Bags Made with Whole Leaves (1 Pack of 50 Tea Bags),B096VBJ77B,Tea Pigs,18.09,1419.0,1885.0,,1.0,5.0,827.0,7.0,0.0,Amazon,Drinks,,AMZ,,,6/8/2021
PG Tips 200 Individual Enveloped Tagged Tea Bags,B0040JTLGQ,PG Tips,8.03,1271.0,1307.0,3.15,15.0,5.0,1022.0,7.0,29.0,Amazon,Drinks,Large Oversize,AMZ,7.5x7.7x6.5,1.68,1/24/2009
"Teapigs Everyday Brew Black Loose Tea Made With Whole Leaves (1 Pack of 250g Loose Tea) & Chai Loose Tea Made with Whole Leaves (1 Pack of 250g Loose Tea), 1203",B09GK6WM93,Tea Pigs,15.0,1310.0,1647.0,,1.0,5.0,962.0,7.0,10.0,,Drinks,,AMZ,,,9/17/2021
Tetley One Cup Tea Bags Catering Pack (Pack of 1100),B007IJ00TC,Tetley,17.84,1367.0,1570.0,8.24,47.0,5.0,1017.0,3.0,30.0,Universal Product Solutions,Grocery,Large Oversize,MFN,13.5x14.0x6.3,6.08,2/16/2007
"PG Tips Original Pyramid Tea Bags, (Pack of 240)",B000MXX04S,PG Tips,4.0,2287.0,1513.0,2.89,18.0,5.0,4366.0,5.0,2567.0,,Drinks,Large Oversize,FBA,6.9x8.7x4.5,1.79,11/5/2010
"Twinings Dark Caramel Tea Bags, 40 each",B0896JW15V,Twinings,2.0,1069.0,2261.0,2.35,3.0,5.0,725.0,4.0,0.0,Amazon,Drinks,Small Oversize,AMZ,3.4x5.7x2.4,0.29,5/13/2020
"Clipper Fairtrade Organic Earl Grey Tea 40 Unbleached, Plastic-Free Tea Bags",B08SY5SZXQ,Clipper,5.3,1109.0,2095.0,2.62,3.0,5.0,180.0,9.0,9.0,Amazon,Drinks,Small Oversize,AMZ,3.4x5.7x2.9,0.29,1/13/2021
"T2 Tea French Earl Grey Black Tea Bags in Limited Edition Tin, 50 g",B085QBVCC7,T2 Tea,12.0,947.0,1760.0,4.16,1.0,5.0,755.0,4.0,5.0,Amazon,Drinks,Small Oversize,AMZ,3.3x4.5x3.3,0.35,3/10/2020
TYPHOO TEA 1100 Teabags,B004ZLADQ6,TYPHOO TEA,13.99,951.0,1994.0,7.65,32.0,5.0,2141.0,1.0,11.0,Amazon,Drinks,Large Oversize,AMZ,12.2x20.5x6.7,6.02,11/22/2008
New English Teas Vintage Victorian Tea Tin with 40 English Breakfast teabags & Vintage Floral Tea Tin with 40 Earl Grey Teabags,B09GK4Z2DM,New English Teas,11.22,856.0,1946.0,,1.0,5.0,1377.0,7.0,23.0,,Drinks,,AMZ,,,9/17/2021
English Telephone Box English Breakfast Tea 6 Teabag Carton,B07T51PPNG,New English Teas,0.99,319.0,2122.0,2.29,1.0,4.0,140.0,4.0,6.0,Amazon,Drinks,Large Envelope,AMZ,2.6x3.2x1.5,0.04,5/31/2019
Teapigs Lemon and Ginger Tea Bags Made With Whole Leaves (1 Pack of 50 Tea Bags) & Earl Grey Strong Tea Made With Whole Leaves (1 Pack of 50 Tea Bags),B096V7WYPD,Tea Pigs,20.94,775.0,2313.0,,1.0,5.0,565.0,7.0,5.0,Amazon,Drinks,,AMZ,,,6/8/2021
"Twinings Special Treats Collection Gift Set (40 Teabags), Perfect Alternative Birthday Present",B01M08P0SZ,Twinings,8.49,662.0,2409.0,3.77,2.0,5.0,847.0,7.0,13.0,Amazon,Drinks,Small Oversize,AMZ,5.6x6.5x2.9,0.4,9/19/2016
Teapigs Earl Grey Strong Tea Made With Whole Leaves (1 Pack of 50 Tea Bags) & Darjeeling Earl Grey Tea Bags Made with Whole Leaves (1 Pack of 50 Tea Bags),B09GK8RDZK,Tea Pigs,20.94,571.0,2501.0,,1.0,5.0,380.0,7.0,6.0,,Drinks,,AMZ,,,9/17/2021
Ahmad Tea English Scene Caddy with Ceylon Tea - 100g Loose Leaf Tea,B0017QC0IQ,Ahmad Tea,5.3,691.0,2989.0,2.76,1.0,5.0,3389.0,13.0,10.0,Amazon,Drinks,Small Oversize,AMZ,3.5x4.7x2.3,0.44,10/29/2013
Teapigs Darjeeling Earl Grey Tea Bags Made with Whole Leaves (1 Pack of 50 Tea Bags) & Chamomile Tea Made With Whole Flowers (1 Pack of 50 Tea Bags),B096VB754N,Tea Pigs,20.38,711.0,2720.0,,1.0,5.0,431.0,7.0,0.0,Amazon,Drinks,,AMZ,,,6/8/2021
Clipper Fairtrade Everyday One Cup Teabags (440 Teabags),B004RJ84WG,Clipper,12.44,770.0,2452.0,4.55,15.0,5.0,559.0,13.0,0.0,Amazon,Drinks,Large Oversize,AMZ,8.2x11.5x5.7,2.73,11/10/2006
"PG tips Loose Leaf Black Tea, 1.5 kg (480 Servings)",B003UF6RWW,PG Tips,10.75,759.0,3469.0,4.55,7.0,5.0,874.0,6.0,7.0,Amazon,Drinks,Large Oversize,AMZ,7.8x12.1x3.9,3.37,7/20/2011
"PG tips Original Biodegradable Pyramid Tea Bags, Total 1600 Everyday Tea bags, for Tea Lovers, (8 packs x 200 tea bags)",B07T1V14S9,PG Tips,29.89,734.0,2679.0,10.94,5.0,5.0,1579.0,6.0,11.0,VRP Retail,Drinks,Large Oversize,MFN,10.9x18.0x8.8,12.04,6/4/2019
Teapigs Chai Tea Bags Made With Whole Leaves (1 Pack of 50 Tea bags) & Chamomile Tea Made With Whole Flowers (1 Pack of 50 Tea Bags),B096V7678N,Tea Pigs,20.38,542.0,3424.0,,1.0,5.0,488.0,7.0,0.0,Amazon,Drinks,,AMZ,,,6/8/2021
"PG Tips 100% Natural Pure Tea Granules, Large Pack of 420 Cups Of Tea, Perfect For Families And Tea Lovers For All Occasions, Home, Catering And Office (6 x 80 servings)",B00DBCLFIA,PG Tips,18.0,493.0,3163.0,6.89,5.0,5.0,418.0,6.0,10.0,Amazon,Drinks,Large Oversize,AMZ,9.3x12.2x5.3,4.39,5/28/2013
Royal Chai | Cardamom Sweetened Tub | 400 g (Pack of 1) | Premium Instant Chai | Makes 20 cups,B073H64MV5,Royal Chai,7.49,924.0,2773.0,3.11,9.0,4.0,717.0,1.0,126.0,One Stop Dealers,Drinks,Large Oversize,FBA,3.9x5.4x3.9,1.01,6/28/2017
Clipper Organic Fairtrade Everyday Earl Grey 80 Teabags 200 g (Pack of 6) (packaging may vary),B07RK8LVFM,Clipper,18.0,580.0,2892.0,8.81,3.0,5.0,337.0,9.0,3.0,Amazon,Drinks,Large Oversize,AMZ,7.9x17.8x5.6,3.42,7/25/2012
50 x Twinings Everyday Teabags - Individual Enveloped & Tagged Tea Bags,B01BR6OEZM,Twinings,3.99,754.0,2616.0,1.99,10.0,5.0,675.0,2.0,12.0,Tea House Direct,Drinks,Small Oversize,FBA,8.5x9.8x0.9,0.44,2/14/2016
Brodies - Green Tea: Delicate and Refreshing Infusion - 20 Bags,B01NCMCR3J,Brodies,4.55,791.0,3565.0,4.53,2.0,5.0,218.0,4.0,8.0,Amazon,Drinks,Large Oversize,AMZ,5.7x19.4x3.1,1.3,9/25/2020
New English Teas Vintage Victorian Tea Tins with Loose-Leaf Tea,B07WRR2MT5,New English Teas,5.98,407.0,2863.0,2.7,3.0,4.0,721.0,3.0,16.0,,Drinks,Small Oversize,AMZ,3.2x5.6x1.9,0.4,8/20/2019
"English Tea Shop Organic White Advent Calendar, 25 Tea Bag Sachets",B08M78JMBB,English Tea Shop,6.29,221.0,3067.0,2.7,1.0,3.0,12.0,4.0,0.0,Amazon,Drinks,Small Oversize,AMZ,3.3x5.3x2.8,0.26,6/3/2021
Tetley Tea Bags (Pack of 440),B004G3PQ7Y,Tetley,9.8,547.0,3439.0,4.16,13.0,5.0,1177.0,5.0,0.0,UK Business Supplies,Drinks,Large Oversize,MFN,10.1x17.2x4.7,2.16,8/31/2006
Teapigs Earl Grey Strong Loose Tea Made with Whole Leaves (1 Pack of 100g),B07VGN9LNB,Tea Pigs,4.0,475.0,3811.0,2.54,1.0,5.0,544.0,4.0,7.0,Amazon,Drinks,Large Envelope,AMZ,3.5x7.1x1.2,0.02,7/17/2019
New English Teas London Sights Mini Tea Tin Gift with Loose-Leaf Black Tea,B00CI44BWY,New English Teas,10.9,345.0,3999.0,3.88,5.0,5.0,930.0,3.0,11.0,Amazon,Drinks,Large Oversize,AMZ,5.7x6.0x1.9,0.75,4/22/2013
Brew Tea Co - English Breakfast - Strong and Malty - 113g Loose Leaf Tea,B00XJZ478Y,Brew Tea Co,5.0,505.0,3533.0,2.6,4.0,5.0,485.0,3.0,10.0,Amazon,Drinks,Small Oversize,AMZ,3.0x6.5x3.0,0.31,5/12/2015
The Tea Masters Loose Leaf Tea - Breakfast Tea - Premium (1x1kg),B0771N4D7D,Coffee Masters,18.44,346.0,3925.0,5.48,2.0,5.0,575.0,7.0,-1.0,Coffee Masters UK,Drinks,Large Oversize,FBA,5.9x11.8x3.0,2.2,10/31/2017
"Drink me Chai Vanilla Chai Latte 1kg (Pack of 1) - Just Add Water, Vanilla Chai Latte Powder (50 Servings)",B004OE17ZA,Drink Me Chai,11.99,446.0,4526.0,4.49,5.0,5.0,584.0,8.0,9.0,Aimia Foods,Drinks,Large Oversize,FBA,6.2x6.2x4.6,2.51,1/1/2008
"Twinings Dark Grey Tea Bags, 40 each",B0896LJB2Z,Twinings,2.0,541.0,4387.0,2.35,1.0,4.0,414.0,4.0,0.0,Amazon,Drinks,Small Oversize,AMZ,4.6x5.6x2.5,0.26,5/13/2020
Ahmad Tea English Afternoon Tea - 20 Teabags,B00JRYID5E,Ahmad Tea,4.59,27.0,4859.0,2.87,1.0,4.0,2068.0,6.0,0.0,,Drinks,Large Oversize,AMZ,7.0x9.0x5.6,1.28,3/19/2014
"Tetley Original Decaf Tea Bags, 120 Bags",B0897TS7B5,Tetley,6.45,181.0,4006.0,3.49,8.0,5.0,134.0,1.0,2.0,A Star Trading Ltd,Grocery,Large Oversize,FBA,5.7x7.5x2.5,0.93,5/27/2020
"Twinings English Strong Breakfast Tea, 320 Tea Bags (Multipack of 4 x 80 Tea Bags)",B00859CDZI,Twinings,14.54,272.0,4952.0,5.61,7.0,5.0,364.0,11.0,6.0,Amazon,Drinks,Large Oversize,AMZ,5.9x12.0x5.7,2.73,5/14/2012
"Royal Chai, Sweetened Pack of 10 Sachets, Masala",B000ZS14P2,Royal Chai,3.99,279.0,4198.0,2.66,4.0,5.0,170.0,7.0,5.0,Amazon,Drinks,Large Oversize,AMZ,3.5x4.5x3.5,0.55,11/24/2007
5 x Twinings Everyday Individual Enveloped Tea Bags,B00OHYFLFE,Twinings,2.99,364.0,3236.0,,2.0,5.0,206.0,1.0,9.0,AB GROCERIES,Drinks,,MFN,,,10/14/2014
(4 Pack) - Dragonfly Tea - Earl Grey Rooibos Tea | 40 Bag | 4 Pack Bundle,B00V6I0B5O,Dragonfly Teas,11.92,351.0,5311.0,4.32,7.0,5.0,260.0,1.0,0.0,Unified Retail,Drinks,Large Oversize,FBA,6.2x11.2x3.9,1.3,10/19/2012
"Clipper Tea Clipper Fairtrade Organic English Breakfast 80 Unbleached, Plastic-Free Bags, 232 g",B083QJXXVY,Clipper Tea,3.0,391.0,3771.0,2.57,4.0,5.0,148.0,9.0,-6.0,Amazon,Drinks,Large Oversize,AMZ,6.0x7.0x3.0,0.65,1/10/2020
"Pukka Gorgeous Earl Grey, Organic Black Tea with Dunsadle & Lavender (4 Pack, 80 Tea bags)",B0168UWPNU,Pukka Herbs,11.24,415.0,5850.0,4.05,10.0,5.0,389.0,6.0,0.0,Amazon,Drinks,Large Oversize,AMZ,5.9x11.3x3.3,0.88,4/28/2014
"New English Teas English Slogans Teabag Box Gift Set, Contains 30 teabags",B01J1LJDG0,New English Teas,3.99,228.0,5153.0,2.66,1.0,5.0,118.0,4.0,0.0,Amazon,Drinks,Small Oversize,AMZ,3.8x8.1x2.8,0.4,7/18/2016
Twinings Earl Grey 50 Enveloped Individually Wrapped Teabags Per Box,B01M6V830T,Twinings,6.25,328.0,4664.0,2.84,6.0,5.0,85.0,3.0,2.0,Tea House Direct,Drinks,Small Oversize,FBA,5.6x5.9x3.1,0.4,10/11/2016
"PG tips Camomile Infusion 25 Enveloped Bags, Pack of 6",B07NN42W62,PG Tips,12.0,295.0,5406.0,4.34,4.0,5.0,477.0,6.0,9.0,Amazon,Drinks,Large Oversize,AMZ,6.3x7.5x6.0,1.1,8/22/2016
English Tea Shop Organic Chai Black Tea - 20 Tea Bag Sachets,B082VWRP33,English Tea Shop,2.22,242.0,6861.0,2.37,2.0,5.0,327.0,6.0,7.0,Amazon,Drinks,Standard Parcel,AMZ,5.6x6.5x2.7,0.18,8/8/2019
"Lipton Yellow Label 100 Tea Bags (Pack of 3, Total 300 Tea Bags)",B00476T83S,Lipton,8.49,325.0,4778.0,3.19,12.0,5.0,698.0,6.0,6.0,My Suppermarket,Drinks,Large Oversize,FBA,7.7x14.4x5.4,1.79,10/13/2010
"Twinings Everyday Teabags, Large Pack,Total 1200 Tea Bags",B01LTIBFIC,Twinings,25.64,315.0,5432.0,,7.0,5.0,303.0,6.0,6.0,,Drinks,Large Oversize,AMZ,11.3x12.2x8.0,8.77,10/18/2016
"Cornish Tea Company Ltd Smugglers Brew, 80 Tea Bags, 250g",B00ENZU47W,Unknown,4.5,258.0,4958.0,3.02,1.0,5.0,358.0,3.0,4.0,Cornish Tea & Cornish Coffee,Drinks,Large Oversize,FBA,5.5x6.7x2.7,0.68,8/20/2013
25 x Twinings Everyday Teabags - Individual Enveloped & Tagged Tea Bags,B01BR6OD5S,Twinings,1.86,197.0,5705.0,1.81,6.0,5.0,433.0,1.0,7.0,Tea House Direct,Drinks,Small Oversize,FBA,6.5x9.5x0.9,0.26,1/28/2017
"Ahmad Tea Earl Grey (Pack of 1, Total 100 Tea Bags)",B00GRS0CAM,Ahmad Tea,7.99,307.0,6155.0,2.98,5.0,5.0,2021.0,11.0,3.0,uk-unique,Drinks,Large Oversize,FBA,6.0x6.6x2.6,0.62,8/19/2011
"T2 Tea World of Tea: Tea Bags Advent Calendar for Christmas 2020, Countdown to Christmas, 24 Teabags Sachets",B08JM1931G,T2 Tea,18.86,240.0,6409.0,5.39,1.0,5.0,286.0,6.0,3.0,Amazon,Drinks,Large Oversize,AMZ,12.0x16.5x1.5,1.59,9/21/2020
"Newby Teas Classic Earl Grey Tea Bags (Pack of 1, Total 50 Bags)",B00APYL532,Newby,6.95,279.0,7016.0,2.9,1.0,5.0,137.0,2.0,1.0,Amazon,Drinks,Small Oversize,AMZ,5.3x5.4x3.2,0.4,12/18/2012
New English Teas English Icons Traditional English Teas Triple Tin Gift Pack 84 g,B00I44NQ2S,New English Teas,7.71,242.0,6376.0,2.96,1.0,5.0,80.0,5.0,8.0,Amazon,Drinks,Large Oversize,AMZ,6.1x6.9x2.4,0.71,1/29/2014
"Twinings Decaffeinated Everyday Tea 320 Tea Bags, (Multipack of 4 x 80 Tea Bags)",B01LXRDO8D,Twinings,14.0,170.0,6384.0,4.8,2.0,5.0,119.0,6.0,2.0,Amazon,Drinks,Large Oversize,AMZ,6.0x12.2x5.7,2.69,10/2/2016
Lipton Yellow Label Tea 100 Tea Bags,B001RM78TQ,Lipton,4.39,203.0,7823.0,2.69,7.0,5.0,584.0,6.0,0.0,My Suppermarket,Drinks,Large Oversize,FBA,6.1x6.6x2.4,0.6,8/19/2011
Brew Tea Co- Earl Grey - Light & Fragrant Tea - 113g Loose Leaf Tea,B00XJZFD32,Brew Tea Co,5.0,216.0,8035.0,2.74,2.0,5.0,166.0,3.0,0.0,Amazon,Drinks,Small Oversize,AMZ,3.2x6.4x3.1,0.35,5/12/2015
PG tips String and Tag One Cup Everyday Tea Bags (Pack of 100),B004VD4CKQ,PG Tips,5.71,208.0,6647.0,2.8,13.0,5.0,248.0,6.0,10.0,Amazon,Drinks,Large Oversize,AMZ,6.0x6.7x2.4,0.7,4/6/2011
New English Teas British Post Box Tea Tin with 14 English Breakfast Teabags,B00W50HYXO,New English Teas,3.99,208.0,7708.0,2.54,2.0,5.0,301.0,4.0,8.0,Amazon,Drinks,Standard Parcel,AMZ,2.6x5.8x1.7,0.18,4/7/2015
"Taylors of Harrogate Yorkshire Tea 50 Free Tea Bags 656G,, 1 x 500 g",B01LQAHN0W,Yorkshire Tea,11.98,145.0,5620.0,4.33,16.0,3.0,5.0,5.0,0.0,Planet  Child,Drinks,Large Oversize,FBA,5.3x10.0x4.8,1.65,10/5/2020
"Tea Pigs Jasmine Pearls Tea Bags Made with Whole Leaves, Pack of 15",B0037B2LBK,Tea Pigs,5.5,290.0,7115.0,2.66,5.0,5.0,319.0,6.0,0.0,Amazon,Drinks,Large Envelope,AMZ,3.1x7.1x1.7,0.04,2/18/2010
Ahmad Tea Apple Refresh Fruit-Flavoured Black Tea - 20 Teabags,B01LTHZS6I,Ahmad Tea,12.22,411.0,6785.0,4.67,1.0,4.0,3088.0,6.0,-2.0,Amazon,Drinks,Standard Parcel,AMZ,3.2x5.3x2.8,0.18,3/20/2013
Typhoo QT Instant Black Tea with Whitener 225 g (Pack of 6),B01N0HK10Q,TYPHOO TEA,16.74,335.0,5869.0,5.47,3.0,5.0,424.0,6.0,0.0,Amazon,Drinks,Large Oversize,AMZ,6.4x9.4x6.3,3.62,9/20/2016
New English Teas Vintage Floral Tea Tin with 40 Earl Grey Teabags,B00W50HKI8,New English Teas,5.49,150.0,8277.0,2.78,3.0,5.0,366.0,3.0,4.0,Amazon,Drinks,Small Oversize,AMZ,4.2x8.0x3.4,0.49,4/7/2015
Brew Tea Co - Decaffeinated Ceylon Loose Leaf Tea - Chocolatey & Sweet - 113g,B00XK1RPWM,Brew Tea Co,6.0,152.0,7752.0,2.68,4.0,4.0,203.0,3.0,3.0,Amazon,Drinks,Small Oversize,AMZ,3.0x6.4x2.9,0.31,5/12/2015
Brew Tea Co - English Breakfast Proper Tea Bags - Strong and Malty - 40 Tea Bags,B06Y14NYKR,Brew Tea Co,7.95,204.0,6589.0,2.98,2.0,5.0,136.0,3.0,4.0,Amazon,Drinks,Small Oversize,AMZ,5.0x5.3x3.6,0.44,4/3/2017
New English Teas Alice in Wonderland Mini Tea Tins Gift with Loose-Leaf Black Tea,B00W50HL6Y,New English Teas,5.49,201.0,7428.0,2.66,3.0,5.0,819.0,3.0,7.0,Amazon,Drinks,Small Oversize,AMZ,3.3x5.7x1.9,0.4,4/7/2015
"Vahdam, Black Tea Sampler, 5 Teas - Tea Variety Pack | Assorted Black Tea Bags | English Breakfast, Darjeeling, Assam, Earl Grey Tea Bags | 20 Count | Finest Tea Gift Set & Tea Gift for Tea Lovers",B00VK0LF0S,VAHDAM,7.99,119.0,8560.0,2.84,1.0,5.0,175.0,9.0,2.0,Vahdam Teas,Drinks,Small Oversize,FBA,4.3x6.2x3.9,0.24,7/1/2016
"T2 Tea Melbourne Breakfast Black Black Bags in Limited Edition Tin 50g, Vanilla, 25 Count",B085QBSNFJ,T2 Tea,11.9,306.0,7256.0,4.15,1.0,5.0,398.0,5.0,6.0,Amazon,Drinks,Small Oversize,AMZ,3.3x4.5x3.2,0.4,3/10/2020
Teapigs Everyday Brew Tea Bags Made with Whole Leaves (1 Pack of 15 Tea Bags),B0037B0GJO,Tea Pigs,4.0,353.0,7313.0,2.54,7.0,5.0,377.0,6.0,5.0,Amazon,Drinks,Standard Parcel,AMZ,3.1x7.0x1.8,0.11,2/21/2010
Birchall English Breakfast Tea 100 Tagged Tea Bags,B0051GNPSM,Birchall,7.69,173.0,7529.0,2.96,6.0,5.0,171.0,3.0,4.0,Tea House Direct,Drinks,Large Oversize,FBA,6.0x6.6x2.4,0.75,5/17/2011
"Glengettie 80 Teabags (Pack of 6, Total 480 Teabags)",B00AHFX1MM,GLENGETTIE,13.14,154.0,11358.0,4.92,2.0,5.0,257.0,6.0,1.0,Amazon,Drinks,Large Oversize,AMZ,8.2x11.5x5.6,4.03,11/28/2012
Teapigs Honeybush and Rooibos Tea Bags Made With Whole Leaves (1 Pack of 50 Tea Bags) & Chamomile Tea Made With Whole Flowers (1 Pack of 50 Tea Bags),B096VBS2RF,Tea Pigs,20.38,203.0,8851.0,,1.0,5.0,245.0,7.0,0.0,Amazon,Drinks,,AMZ,,,6/8/2021
Cornish Tea - Smugglers Brew Tea Bags (40),B00FYPI3AA,Cornish Tea & Cornish Coffee,3.5,144.0,7936.0,2.48,1.0,5.0,145.0,1.0,3.0,Cornish Tea & Cornish Coffee,Drinks,Small Oversize,FBA,2.8x6.3x2.6,0.32,10/17/2013
"Yorkshire Tea Individually Wrapped Tagged Enveloped One Cup Tea Bags Let s Have a Proper Brew - Taylors of Harrogate (Yorkshire Classic, 10)",B078472HVC,Yorkshire Tea,2.35,159.0,6842.0,1.77,3.0,5.0,234.0,7.0,1.0,sachets n sticks,Drinks,Standard Parcel,MFN,4.3x8.7x0.4,0.11,12/13/2017
Teapigs Chocolate & Mint Tea Bags Made With Whole Leaves (1 Pack of 15 Tea Bags),B00P1HA5DO,Tea Pigs,4.15,278.0,7293.0,3.3,4.0,4.0,273.0,6.0,4.0,Amazon,Drinks,Standard Parcel,AMZ,3.1x7.0x1.8,0.13,10/30/2014
"English Tea Shop Organic & Fairtrade Earl Grey - 20 Paper Tea bag Sachets, 45 g",B082VWMY1Y,English Tea Shop,2.22,174.0,5554.0,2.37,2.0,5.0,426.0,6.0,7.0,Amazon,Drinks,Standard Parcel,AMZ,3.3x5.1x2.7,0.22,8/8/2019
Red London Bus London Tea 6 Teabag Carton,B07T3XCQ1G,New English Teas,0.99,92.0,7946.0,2.29,1.0,5.0,66.0,8.0,0.0,Amazon,Drinks,Standard Parcel,AMZ,2.6x3.2x1.5,0.22,5/31/2019
"Tea Pigs Earl Grey Tea Bags Made with Whole Leaves, 15x37.5g",B0037B6H9M,Tea Pigs,4.15,294.0,7201.0,2.54,9.0,5.0,248.0,7.0,2.0,Amazon,Drinks,Standard Parcel,AMZ,3.1x7.0x1.8,0.11,2/18/2010
